ID	PSSM-Id	CD_short_name	CD_description	COG_IdentityPercent	COG.Evalue	COG.Bitscore	COG	COG_category	COG_category_u	COG_color	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host	Host_Homologue_Result	Description	Strain	Genus	Gram_Stain	SubcellularLocalization	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult
WP_001181005	223129	RpsJ	Ribosomal_protein_S10_[Translation,_ribosomal_structure_and_biogenesis].	74.51	2.28e-58	172	COG0051	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10340482	57.143	4e-36	117	Essential	11766.6	10.5424	0.472	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_428540.3	28.713	8.05e-11	55.5	Gallus gallus	Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S10_[Bacteria]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.198478	Non-Adhesin	NON-ANTIGEN
WP_005539416	223263	RpsS	Ribosomal_protein_S19_[Translation,_ribosomal_structure_and_biogenesis].	71.429	3.85e-55	163	COG0185	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10680076	57.471	7.18e-35	113	Essential	10259.14	11.0087	0.731	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S19_[Pasteurellaceae]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.214162	Non-Adhesin	ANTIGEN
WP_005539567	-	-	-	-	-	-	-	-	-	-	-	TM	1	0	2	0	2	0	DEG10290400	62.025	5.71e-30	100	Essential	8655.43	4.5869	0.46	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_F0F1_ATP_synthase_subunit_C_[Pasteurellaceae]	GCF_004931865.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.572054	Non-Adhesin	NON-ANTIGEN
WP_005539760	223308	RpmH	Ribosomal_protein_L34_[Translation,_ribosomal_structure_and_biogenesis].	84.091	2.46e-13	53.8	COG0230	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10200108	77.273	3.57e-11	50.4	Essential	5098.04	13.4595	0.28	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L34_[Pasteurellaceae]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN
WP_005542835	223345	RpmG	Ribosomal_protein_L33_[Translation,_ribosomal_structure_and_biogenesis].	58	1.59e-18	67.7	COG0267	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10200334	62.963	6.98e-17	65.9	Essential	6548.78	10.9065	0.979	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L33_[Pasteurellaceae]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.433602	Non-Adhesin	NON-ANTIGEN
WP_005544470	223410	RpmF	Ribosomal_protein_L32_[Translation,_ribosomal_structure_and_biogenesis].	54.386	2.9e-13	54.6	COG0333	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10060297	54.167	2.41e-11	52	Essential	6392.21	11.555	0.92	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L32_[Pasteurellaceae]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.270212	Non-Adhesin	NON-ANTIGEN
WP_005546410	223369	RplT	Ribosomal_protein_L20_[Translation,_ribosomal_structure_and_biogenesis].	82.051	8.43e-53	158	COG0292	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10400318	59.292	6.62e-31	105	Essential	13354.8	12.007	0.889	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	NP_001264971.1	41.237	1.27e-19	79.3	Gallus gallus	Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L20_[Pasteurellaceae]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.394277	Non-Adhesin	NON-ANTIGEN
WP_005548767	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	DEG10010059	59.459	2.87e-11	50.4	Essential	4279.22	11.4122	0.674	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L36_[Pasteurellaceae]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN
WP_005596065	223368	RpmI	Ribosomal_protein_L35_[Translation,_ribosomal_structure_and_biogenesis].	61.538	3.1e-19	70.3	COG0291	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10560487	78.462	6.74e-31	101	Essential	7438.04	12.4479	0.338	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L35_[Bacteria]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.412679	Non-Adhesin	NON-ANTIGEN
WP_005627617	223438	InfA	Translation_initiation_factor_IF-1_[Translation,_ribosomal_structure_and_biogenesis].	69.444	3.92e-38	118	COG0361	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10200327	65.714	2.2e-30	101	Essential	8284.7	9.0498	0.268	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_translation_initiation_factor_IF-1_[Pasteurellaceae]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.335432	Non-Adhesin	NON-ANTIGEN
WP_011608297	223305	RpmB	Ribosomal_protein_L28_[Translation,_ribosomal_structure_and_biogenesis].	64.935	1.97e-33	107	COG0227	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10550579	67.105	1.11e-33	109	Essential	8998.57	12.2333	0.946	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L28_[Pasteurellaceae]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.151484	Non-Adhesin	NON-ANTIGEN
WP_013745731	223126	RpsL	Ribosomal_protein_S12_[Translation,_ribosomal_structure_and_biogenesis].	77.236	6.92e-74	212	COG0048	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10680124	66.423	9.56e-50	154	Essential	13765.16	11.2804	0.913	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_001233807.2	52.252	4.23e-29	105	Gallus gallus	Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S12_[Pasteurellaceae]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.285975	Non-Adhesin	ANTIGEN
WP_017805010	223289	RpmA	Ribosomal_protein_L27_[Translation,_ribosomal_structure_and_biogenesis].	77.381	5.72e-47	141	COG0211	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10400304	70.513	1.29e-30	102	Essential	9093.41	11.2976	0.619	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_001232140.1	49.275	1.61e-14	64.7	Gallus gallus	Host Homologue	50S_ribosomal_protein_L27_[Avibacterium_paragallinarum]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.292857	Non-Adhesin	ANTIGEN
WP_017805011	-	-	-	-	-	-	-	-	-	-	-	TM	6	0	5	0	10	0	-	-	-	-	Non Essential	33930.8	9.467	0.223	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	DMT_family_transporter_[Avibacterium_paragallinarum]	GCF_004931865.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.322855	Non-Adhesin	NON-ANTIGEN
WP_017805016	-	-	-	-	-	-	-	-	-	-	-	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	14565.6	7.7236	0.196	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_004931865.1	Avibacterium	Negative	Unknown	Unknown	LIPO	0.72266	Adhesin	NON-ANTIGEN
WP_017805037	225977	GrcA	Autonomous_glycyl_radical_cofactor_GrcA_[Coenzyme_transport_and_metabolism].	87.402	3.53e-93	261	COG3445	H	H	DCDCFC	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10050082	83.607	9.18e-29	108	Essential	14316.21	4.765	0.699	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	autonomous_glycyl_radical_cofactor_GrcA_[Avibacterium_paragallinarum]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.306709	Non-Adhesin	NON-ANTIGEN
WP_017805041	223131	FieF	Divalent_metal_cation_(Fe/Co/Zn/Cd)_transporter_[Inorganic_ion_transport_and_metabolism].	40.667	1.84e-99	291	COG0053	P	P	CCCCFC	Inorganic_ion_transport_and_metabolism	TM	4	0	3	0	6	0	DEG10070189	26.712	4.22e-24	100	Essential	34477.24	6.2166	0.69	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	cation_diffusion_facilitator_family_transporter_[Avibacterium_paragallinarum]	GCF_004931865.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.431078	Non-Adhesin	NON-ANTIGEN
WP_017805042	223283	PfkA	6-phosphofructokinase_[Carbohydrate_transport_and_metabolism].	57.941	1.18e-162	454	COG0205	G	G	CCFCFC	Carbohydrate_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10680176	37.459	3.93e-69	218	Essential	35110.2	6.8134	0.464	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	NP_001026682.1	35.294	3.49e-23	100	Gallus gallus	Host Homologue	6-phosphofructokinase_[Avibacterium_paragallinarum]	GCF_004931865.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.298559	Non-Adhesin	NON-ANTIGEN
