ID	PSSM-Id	CD_short_name	CD_description	COG_IdentityPercent	COG.Evalue	COG.Bitscore	COG	COG_category	COG_category_u	COG_color	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host	Host_Homologue_Result	Description	Strain	Genus	Gram_Stain	SubcellularLocalization	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult
WP_000088605	224228	AcrR	DNA-binding_transcriptional_regulator,_AcrR_family_[Transcription].	26.582	1.88e-10	55.3	COG1309	K	K	FCDCEC	Transcription	GLOB	1	0	0	0	0	0	DEG10450343	39.904	4.41e-48	156	Essential	23354.68	6.0247	0.681	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_tetracycline_resistance_transcriptional_repressor_TetR(B)_[Bacteria]	GCF_025884555.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.332441	Non-Adhesin	NON-ANTIGEN
WP_000275180	225117	AraC	AraC-type_DNA-binding_domain_and_AraC-containing_proteins_[Transcription].	37.069	2.04e-27	96.1	COG2207	K	K	FCDCEC	Transcription	GLOB	1	0	0	0	0	0	DEG10180257	46.465	1.05e-28	101	Essential	16774.42	10.4224	0.852	> 8	< 50 kDa	VFG000421(gb|NP_395427.1)	39.45	7.52e-17	72	Probable Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_AraC_family_transcriptional_regulator_[Proteobacteria]	GCF_025884555.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.421266	Non-Adhesin	NON-ANTIGEN
WP_000460651	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	13818.06	5.5687	0.594	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_hypothetical_protein_[Proteobacteria]	GCF_025884555.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.292984	Non-Adhesin	NON-ANTIGEN
WP_000562370	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	DEG10470156	32.323	1.4e-13	60.8	Essential	12500.28	6.4841	0.695	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_antibiotic_biosynthesis_monooxygenase_[Proteobacteria]	GCF_025884555.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.646236	Non-Adhesin	NON-ANTIGEN
WP_000599533	223857	GltS	Na+/glutamate_symporter_[Amino_acid_transport_and_metabolism].	54.453	2.98e-142	408	COG0786	E	E	DCFCFC	Amino_acid_transport_and_metabolism	TM	5	0	6	0	10	0	-	-	-	-	Non Essential	42717.21	7.9827	0.306	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_sodium/glutamate_symporter_[Proteobacteria]	GCF_025884555.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.323074	Non-Adhesin	NON-ANTIGEN
WP_001089068	-	-	-	-	-	-	-	-	-	-	-	TM	7	0	6	0	12	0	DEG10450344	40.108	3.44e-80	251	Essential	43237.18	7.4173	0.266	< 8	< 50 kDa	VFG045330(gb|YP_095353)	29.333	1.07e-09	56.6	Probable Virulence Factor	XP_025006086.1	26.471	3.53e-14	74.7	Gallus gallus	Host Homologue	MULTISPECIES:_tetracycline_efflux_MFS_transporter_Tet(B)_[Proteobacteria]	GCF_025884555.1	Avibacterium	Negative	CytoplasmicMembrane	Inside the cell	OTHER	0.604186	Non-Adhesin	NON-ANTIGEN
WP_001181005	223129	RpsJ	Ribosomal_protein_S10_[Translation,_ribosomal_structure_and_biogenesis].	74.51	2.28e-58	172	COG0051	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10340482	57.143	4e-36	117	Essential	11766.6	10.5424	0.472	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_428540.3	28.713	8.05e-11	55.5	Gallus gallus	Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S10_[Bacteria]	GCF_025884555.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.311137	Non-Adhesin	NON-ANTIGEN
WP_001284954	223713	ArsR	DNA-binding_transcriptional_regulator,_ArsR_family_[Transcription].	32.258	1.14e-13	62.5	COG0640	K	K	FCDCEC	Transcription	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	25296.21	8.7101	0.251	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_winged_helix-turn-helix_domain-containing_protein_[Proteobacteria]	GCF_025884555.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.319633	Non-Adhesin	NON-ANTIGEN
WP_001352368	-	-	-	-	-	-	-	-	-	-	-	GLOB	1	0	0	0	0	0	DEG10420306	99.005	0	825	Essential	46073.51	10.4452	0.407	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_IS4-like_element_ISVsa5_family_transposase_[Bacteria]	GCF_025884555.1	Avibacterium	Negative	Unknown	Unknown	OTHER	0.150128	Non-Adhesin	NON-ANTIGEN
WP_005539416	223263	RpsS	Ribosomal_protein_S19_[Translation,_ribosomal_structure_and_biogenesis].	71.429	3.85e-55	163	COG0185	J	J	FCCCFC	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10680076	57.471	7.18e-35	113	Essential	10259.14	11.0087	0.731	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S19_[Pasteurellaceae]	GCF_025884555.1	Avibacterium	Negative	Cytoplasmic	Inside the cell	OTHER	0.302984	Non-Adhesin	ANTIGEN
