ID	COG_ID	COG_categories	COG	General_Functional_Category	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	VF_ID	VFCID	VFcategory	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host	Host_Homologue_Result	Description	Strain	Genus	Gram_Stain	Bacteria	SubcellularLocalization	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult	Host_Homologue_Result_All	Type_of_Protein2
WP_000088605	COG1309	K	K	INFORMATION_STORAGE_AND_PROCESSING	Transcription	GLOB	1	0	0	0	0	0	DEG10450343	39.904	4.41e-48	156	Essential	23354.68	6.0247	0.681	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_tetracycline_resistance_transcriptional_repressor_TetR(B)_[Bacteria]	GCF_036400955.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.26832	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_000428546	COG1309	K	K	INFORMATION_STORAGE_AND_PROCESSING	Transcription	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	22746.29	8.6633	0.355	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_tetracyline_resistance-associated_transcriptional_repressor_TetC_[Pseudomonadota]	GCF_036400955.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.569378	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_000460651	COG4747	R	R	POORLY_CHARACTERIZED	General_function_prediction_only	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	13818.06	5.5687	0.594	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_hypothetical_protein_[Pseudomonadota]	GCF_036400955.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.423635	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_000562370	COG2329	H	H	METABOLISM	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10470156	32.323	1.4e-13	60.8	Essential	12500.28	6.4841	0.695	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_antibiotic_biosynthesis_monooxygenase_[Pseudomonadota]	GCF_036400955.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.359715	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_000599533	COG0786	E	E	METABOLISM	Amino_acid_transport_and_metabolism	TM	5	0	6	0	10	0	-	-	-	-	Non Essential	42717.21	7.9827	0.306	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_sodium/glutamate_symporter_[Pseudomonadota]	GCF_036400955.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.465962	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	2 or more Alpha helix Transmembrane Steps
WP_001089068	COG2814	G	G	METABOLISM	Carbohydrate_transport_and_metabolism	TM	7	0	6	0	12	0	DEG10450344	40.108	3.44e-80	251	Essential	43237.18	7.4173	0.266	< 8	< 50 kDa	VFG044257(gb|WP_000610051)	25.926	2.24e-07	52.4	Probable Virulence Factor	VFG044257	VFC0272	Nutritional/Metabolic factor	XP_040555260.1	27.374	1.39e-13	73.6	Gallus gallus	Host Homologue	MULTISPECIES:_tetracycline_efflux_MFS_transporter_Tet(B)_[Pseudomonadota]	GCF_036400955.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.55604	Non-Adhesin	ANTIGEN	Host Homologue	2 or more Alpha helix Transmembrane Steps
WP_001181005	COG0051	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10340482	57.143	4e-36	117	Essential	11766.6	10.5424	0.472	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	XP_428540.3	28.713	1.12e-10	55.5	Gallus gallus	Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S10_[Bacteria]	GCF_036400955.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.151791	Non-Adhesin	NON-ANTIGEN	Host Homologue	Secreted
WP_001363157	COG0050	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10140150	78.125	8.33e-12	55.8	Essential	3605.13	10.3201	0.455	> 8	< 50 kDa	VFG016488(gb|WP_011284269)	74.194	4.74e-11	53.9	Probable Virulence Factor	VFG016488	VFC0001	Adherence	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_GTP-binding_protein,_partial_[Gammaproteobacteria]	GCF_036400955.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN	Non Host Homologue	Secreted
WP_001698846	COG2207	K	K	INFORMATION_STORAGE_AND_PROCESSING	Transcription	GLOB	1	0	0	0	0	0	DEG10180257	46.465	9.38e-29	101	Essential	16506.08	10.4224	0.854	> 8	< 50 kDa	VFG000421(gb|WP_002211761)	39.815	1.1e-15	71.2	Probable Virulence Factor	VFG000421	VFC0258	Immune modulation	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_helix-turn-helix_domain-containing_protein,_partial_[Gammaproteobacteria]	GCF_036400955.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.372614	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_005539416	COG0185	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10680076	57.471	7.18e-35	113	Essential	10259.14	11.0087	0.731	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S19_[Pasteurellaceae]	GCF_036400955.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.145124	Non-Adhesin	ANTIGEN	Non Host Homologue	Secreted
