ID	COG_ID	COG_categories	COG	General_Functional_Category	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	VF_ID	VFCID	VFcategory	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host	Host_Homologue_Result	Description	Strain	Genus	Gram_Stain	Bacteria	SubcellularLocalization	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult	Host_Homologue_Result_All	Type_of_Protein2
WP_072075904	-	-	-	-	-	GLOB	1	0	0	0	0	0	DEG10420306	100	5.96e-14	61.6	Essential	3345.94	5.4218	0.939	< 8	< 50 kDa	NA	NA	NA	NA	NA	NA	NA	NA	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_transposase,_partial_[Pseudomonadota]	GCF_036400155.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	-	Unknown	ANTIGEN	Non Host Homologue	Secreted
WP_000275180	COG2207	K	K	INFORMATION_STORAGE_AND_PROCESSING	Transcription	GLOB	1	0	0	0	0	0	DEG10180257	46.465	1.05e-28	101	Essential	16774.42	10.4224	0.852	> 8	< 50 kDa	VFG000421(gb|WP_002211761)	39.45	5.67e-16	72.4	Probable Virulence Factor	VFG000421	VFC0258	Immune modulation	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_helix-turn-helix_domain-containing_protein_[Pseudomonadota]	GCF_036400155.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.306669	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_000428546	COG1309	K	K	INFORMATION_STORAGE_AND_PROCESSING	Transcription	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	22746.29	8.6633	0.355	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_tetracyline_resistance-associated_transcriptional_repressor_TetC_[Pseudomonadota]	GCF_036400155.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.569378	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_000460651	COG4747	R	R	POORLY_CHARACTERIZED	General_function_prediction_only	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	13818.06	5.5687	0.594	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_hypothetical_protein_[Pseudomonadota]	GCF_036400155.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.423635	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_000562370	COG2329	H	H	METABOLISM	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10470156	32.323	1.4e-13	60.8	Essential	12500.28	6.4841	0.695	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_antibiotic_biosynthesis_monooxygenase_[Pseudomonadota]	GCF_036400155.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.359715	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_000599533	COG0786	E	E	METABOLISM	Amino_acid_transport_and_metabolism	TM	5	0	6	0	10	0	-	-	-	-	Non Essential	42717.21	7.9827	0.306	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_sodium/glutamate_symporter_[Pseudomonadota]	GCF_036400155.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.465962	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	2 or more Alpha helix Transmembrane Steps
WP_001043260	COG0294	H	H	METABOLISM	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10070125	28.041	9.67e-27	105	Essential	28469.54	6.2628	0.329	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_sulfonamide-resistant_dihydropteroate_synthase_Sul2_[Bacteria]	GCF_036400155.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.284471	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_001181005	COG0051	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10340482	57.143	4e-36	117	Essential	11766.6	10.5424	0.472	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	XP_428540.3	28.713	1.12e-10	55.5	Gallus gallus	Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S10_[Bacteria]	GCF_036400155.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.151791	Non-Adhesin	NON-ANTIGEN	Host Homologue	Secreted
WP_001284954	COG0640	K	K	INFORMATION_STORAGE_AND_PROCESSING	Transcription	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	25296.21	8.7101	0.251	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_winged_helix-turn-helix_domain-containing_protein_[Pseudomonadota]	GCF_036400155.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.412752	Non-Adhesin	NON-ANTIGEN	Non Host Homologue	Secreted
WP_005539416	COG0185	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10680076	57.471	7.18e-35	113	Essential	10259.14	11.0087	0.731	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S19_[Pasteurellaceae]	GCF_036400155.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.145124	Non-Adhesin	ANTIGEN	Non Host Homologue	Secreted
