ID	COG_ID	COG_categories	COG	General_Functional_Category	COG_category_description	Type_of_Protein	Inside_cell_or_cytosol	Periplasm	Outside_cell	Beta_sheet_TM	Alpha_helix_TM	SignalPeptideNumber	Essential.Homologue	Essential.IdentityPercent	Essential.Evalue	Essential.Bitscore	EssentialProtein	MW	Isoelectric_Point	Inclussion_Bodies_Probability	Isoelectric_Point2	MW2	Virulence.Homologue	Virulence.IdentityPercent	Virulence.Evalue	Virulence.Bitscore	VirulenceFactor	Host.Homologue	Host.IdentityPercent	Host.Evalue	Host.Bitscore	Host	Host_Homologue_Result	Description	Strain	Genus	Gram_Stain	Bacteria	SubcellularLocalization	Exposition	SignalPeptide	AdhesinProbability	AdhesinProbability2	AntigenicityResult
WP_001181005	COG0051	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10340482	57.143	4e-36	117	Essential	11766.6	10.5424	0.472	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_428540.3	28.713	8.05e-11	55.5	Gallus gallus	Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S10_[Bacteria]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.198478	Non-Adhesin	NON-ANTIGEN
WP_005539416	COG0185	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10680076	57.471	7.18e-35	113	Essential	10259.14	11.0087	0.731	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S19_[Pasteurellaceae]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.214162	Non-Adhesin	ANTIGEN
WP_005539567	COG0636	C	C	METABOLISM	Energy_production_and_conversion	TM	1	0	2	0	2	0	DEG10290400	62.025	5.71e-30	100	Essential	8655.43	4.5869	0.46	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_F0F1_ATP_synthase_subunit_C_[Pasteurellaceae]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.572054	Non-Adhesin	NON-ANTIGEN
WP_005539760	COG0230	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10200108	77.273	3.57e-11	50.4	Essential	5098.04	13.4595	0.28	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L34_[Pasteurellaceae]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN
WP_005542835	COG0267	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10200334	62.963	6.98e-17	65.9	Essential	6548.78	10.9065	0.979	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L33_[Pasteurellaceae]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.433602	Non-Adhesin	NON-ANTIGEN
WP_005544470	COG0333	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10060297	54.167	2.41e-11	52	Essential	6392.21	11.555	0.92	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L32_[Pasteurellaceae]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.270212	Non-Adhesin	NON-ANTIGEN
WP_005546410	COG0292	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10400318	59.292	6.62e-31	105	Essential	13354.8	12.007	0.889	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	NP_001264971.1	41.237	1.27e-19	79.3	Gallus gallus	Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L20_[Pasteurellaceae]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.394277	Non-Adhesin	NON-ANTIGEN
WP_005548767	COG0257	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10010059	59.459	2.87e-11	50.4	Essential	4279.22	11.4122	0.674	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L36_[Pasteurellaceae]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	-	Unknown	NON-ANTIGEN
WP_005596065	COG0291	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10560487	78.462	6.74e-31	101	Essential	7438.04	12.4479	0.338	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L35_[Bacteria]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.412679	Non-Adhesin	NON-ANTIGEN
WP_005627617	COG0361	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10200327	65.714	2.2e-30	101	Essential	8284.7	9.0498	0.268	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_translation_initiation_factor_IF-1_[Pasteurellaceae]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.335432	Non-Adhesin	NON-ANTIGEN
WP_011608297	COG0227	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10550579	67.105	1.11e-33	109	Essential	8998.57	12.2333	0.946	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_50S_ribosomal_protein_L28_[Pasteurellaceae]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.151484	Non-Adhesin	NON-ANTIGEN
WP_011609791	COG0049	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10340484	52.866	1.03e-53	166	Essential	17686.49	10.9761	0.502	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_015150892.1	33.974	5.78e-27	102	Gallus gallus	Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S7_[Pasteurellaceae]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.249089	Non-Adhesin	NON-ANTIGEN
WP_012072238	COG0100	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10140216	46.61	9.44e-38	124	Essential	13917.13	11.9198	0.606	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_015149271.1	41.071	1.46e-20	82.4	Gallus gallus	Host Homologue	MULTISPECIES:_30S_ribosomal_protein_S11_[Pasteurellaceae]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.221992	Non-Adhesin	NON-ANTIGEN
WP_012341511	COG4381	X	X	CELLULAR_PROCESSES_AND_SIGNALING	Mobilome:_prophages,_transposons	GLOB	0	0	1	0	0	0	-	-	-	-	Non Essential	13170.99	6.9885	0.486	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	MULTISPECIES:_phage_GP46_family_protein_[Pasteurellaceae]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	OTHER	0.23488	Non-Adhesin	NON-ANTIGEN
WP_017805005	COG1052	CHR	C	METABOLISM	Energy_production_and_conversion	GLOB	1	0	0	0	0	0	DEG10120281	28.571	2.14e-24	102	Essential	37028.65	6.9516	0.427	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_424417.3	25.826	4.1e-27	109	Gallus gallus	Host Homologue	2-hydroxyacid_dehydrogenase_[Avibacterium_paragallinarum]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.27213	Non-Adhesin	NON-ANTIGEN
WP_017805006	COG3118	O	O	CELLULAR_PROCESSES_AND_SIGNALING	Posttranslational_modification,_protein_turnover,_chaperones	GLOB	1	0	0	0	0	0	DEG10220004	49.462	3.78e-29	100	Essential	11674.46	4.3557	0.659	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_015131335.1	34.286	6.31e-08	50.1	Gallus gallus	Host Homologue	thioredoxin_[Avibacterium_paragallinarum]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.555211	Non-Adhesin	NON-ANTIGEN
WP_017805007	COG1636	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	29080.72	7.8217	0.279	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	epoxyqueuosine_reductase_QueH_[Avibacterium_paragallinarum]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.317752	Non-Adhesin	NON-ANTIGEN
WP_017805008	COG0142	H	H	METABOLISM	Coenzyme_transport_and_metabolism	GLOB	1	0	0	0	0	0	DEG10510304	31.193	8.86e-25	100	Essential	35555.24	4.4818	0.768	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_025002946.1	32.389	1.46e-28	111	Gallus gallus	Host Homologue	octaprenyl_diphosphate_synthase_[Avibacterium_paragallinarum]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.617225	Non-Adhesin	NON-ANTIGEN
WP_017805009	COG0261	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10570261	49.515	1.6e-31	106	Essential	11493.27	10.9579	0.527	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	50S_ribosomal_protein_L21_[Avibacterium_paragallinarum]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.419774	Non-Adhesin	NON-ANTIGEN
WP_017805010	COG0211	J	J	INFORMATION_STORAGE_AND_PROCESSING	Translation,_ribosomal_structure_and_biogenesis	GLOB	1	0	0	0	0	0	DEG10400304	70.513	1.29e-30	102	Essential	9093.41	11.2976	0.619	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_001232140.1	49.275	1.61e-14	64.7	Gallus gallus	Host Homologue	50S_ribosomal_protein_L27_[Avibacterium_paragallinarum]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.448595	Non-Adhesin	ANTIGEN
WP_017805011	COG0697	ER	E	METABOLISM	Amino_acid_transport_and_metabolism	TM	6	0	5	0	10	0	-	-	-	-	Non Essential	33930.8	9.467	0.223	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	DMT_family_transporter_[Avibacterium_paragallinarum]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.469671	Non-Adhesin	NON-ANTIGEN
WP_017805012	COG0536	DL	D	CELLULAR_PROCESSES_AND_SIGNALING	Cell_cycle_control,_cell_division,_chromosome_partitioning	GLOB	1	0	0	0	0	0	DEG10500184	45.695	2.62e-67	216	Essential	43357.48	4.5123	0.762	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	XP_418645.4	34.247	7.62e-38	141	Gallus gallus	Host Homologue	Obg_family_GTPase_CgtA_[Avibacterium_paragallinarum]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.225216	Non-Adhesin	NON-ANTIGEN
WP_017805013	-	-	-	-	-	GLOB	0	0	1	0	0	0	-	-	-	-	Non Essential	24759.03	5.267	0.183	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	hemagglutinin_repeat-containing_protein_[Avibacterium_paragallinarum]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Extracellular	Exposed	OTHER	0.854148	Adhesin	ANTIGEN
WP_017805014	-	-	-	-	-	GLOB	1	0	0	0	0	0	-	-	-	-	Non Essential	22900.54	6.0236	0.395	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Cytoplasmic	Inside the cell	OTHER	0.402818	Non-Adhesin	NON-ANTIGEN
WP_017805015	-	-	-	-	-	GLOB	0	0	1	0	0	0	-	-	-	-	Non Essential	33127.41	9.5914	0.035	> 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	NucA/NucB_deoxyribonuclease_domain-containing_protein_[Avibacterium_paragallinarum]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	CytoplasmicMembrane	Inside the cell	OTHER	0.520407	Non-Adhesin	ANTIGEN
WP_017805016	-	-	-	-	-	SP	0	0	1	0	0	1	-	-	-	-	Non Essential	14565.6	7.7236	0.196	< 8	< 50 kDa	-	-	-	-	Non Virulence Factor	-	-	-	-	Gallus gallus	Non Host Homologue	hypothetical_protein_[Avibacterium_paragallinarum]	GCF_000348525.1	Avibacterium	Negative	Avibacterium_paragallinarum	Unknown	Unknown	LIPO	0.72266	Adhesin	NON-ANTIGEN
